"Source:","C:\Users\Cyril\OneDrive - Gymnasium Lerbermatt\MA\SAP-Extended\SAP-Extended\SAP-Extended.kicad_sch"
"Date:","19.07.2023 22:45:41"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","399"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"U1, U4, U7, U24, U38, U39, U40, U41, U49, U62","10","74HC245","74HC245","Package_DIP:DIP-20_W7.62mm_Socket","Octal BUS Transceivers, 3-State outputs","",""
"U2, U3, U5, U6, U12, U13, U32, U33, U64","9","74LS195","74LS195","Package_DIP:DIP-16_W7.62mm_Socket","Shift Register 4-bit, parallel","",""
"U8, U9","2","74LS283","74LS283","Package_DIP:DIP-16_W7.62mm_Socket","4-bit full Adder","",""
"U10, U11","2","74LS86","74LS86","Package_DIP:DIP-14_W7.62mm_Socket","Quad 2-input XOR","",""
"U14, U15, U16, U17","4","D168K","D168K","Display_7Segment:D1X8K","One digit 7 segment ultra bright red LED, low current, common cathode","",""
"U18","1","AT28C64B-15PU","AT28C64B-15PU","Package_DIP:DIP-28_W15.24mm_Socket","AT28C64B-15PU","",""
"U19","1","74LS139","74LS139","","Dual Decoder 1 of 4, Active low outputs","",""
"U20","1","LM555xN","LM555xN","Package_DIP:DIP-8_W7.62mm_Socket","Timer, 555 compatible, PDIP-8","",""
"U21","1","74LS107","74LS107","Package_DIP:DIP-14_W7.62mm_Socket","Dual JK Flip-Flop, reset","",""
"U22, U23, U50","3","74LS161","74LS161","Package_DIP:DIP-16_W7.62mm_Socket","Synchronous 4-bit programmable binary Counter","",""
"U25, U26","2","74HC04","74HC04","Package_DIP:DIP-14_W7.62mm_Socket","Hex Inverter","",""
"U27, U28, U29","3","LM555","LM555-8bit-computer-rescue","Package_DIP:DIP-8_W7.62mm_Socket","","",""
"U30, U43, U56","3","74LS32","74LS32","Package_DIP:DIP-14_W7.62mm_Socket","Quad 2-input OR","",""
"U31, U57, U58, U65","4","74LS08","74LS08","Package_DIP:DIP-14_W7.62mm_Socket","Quad And2","",""
"U34, U35, U44","3","74LS157","74LS157","Package_DIP:DIP-16_W7.62mm_Socket","Quad 2 to 1 line Multiplexer","",""
"U36","1","RAM_DATA","AS6C6264-55PCN","Package_DIP:DIP-28_W15.24mm_Socket","AS6C6264-55PCN","",""
"U37","1","RAM_INSTUCTION","AS6C6264-55PCN","Package_DIP:DIP-28_W15.24mm_Socket","AS6C6264-55PCN","",""
"U42, U55, U59","3","74LS04","74LS04","Package_DIP:DIP-14_W7.62mm_Socket","Hex Inverter","",""
"U45","1","IR_2","74LS195","Package_DIP:DIP-16_W7.62mm_Socket","Shift Register 4-bit, parallel","",""
"U46","1","IR_1","74LS195","Package_DIP:DIP-16_W7.62mm_Socket","Shift Register 4-bit, parallel","",""
"U47","1","DR_2","74LS195","Package_DIP:DIP-16_W7.62mm_Socket","Shift Register 4-bit, parallel","",""
"U48","1","DR_1","74LS195","Package_DIP:DIP-16_W7.62mm_Socket","Shift Register 4-bit, parallel","",""
"U51, U52, U53, U54","4","AT28C64B","AT28C64B-15PU","Package_DIP:DIP-28_W15.24mm_Socket","AT28C64B-15PU","",""
"U60, U61","2","~","SN74LS279","Package_DIP:DIP-16_W7.62mm_Socket","","",""
"U63","1","LM2678","LM22678TJ-5","Package_TO_SOT_SMD:TO-263-7_TabPin8","5A Step-Down Switching Voltage Regulater, 4.5-42V Input, 5V Output, 500kHz Switching Frequency, TO-263","",""
"U66","1","74LS02","74LS02","Package_DIP:DIP-14_W7.62mm_Socket","quad 2-input NOR gate","",""
"U67","1","74LS139","74LS139","Package_DIP:DIP-16_W7.62mm_Socket","Dual Decoder 1 of 4, Active low outputs","",""
